"test_num","test_name","metric_name","status","metric_val","commit_message","commit_SHA","commit_date","benchmark_date","benchmark_most_recent_SHA"
2,"to_upper and to_lower have equivalent base versions","runtime (in seconds)","Pass",0.0015665,"Update roxygen2","35a10083ee37cfee7a48bcaccc9d128d9ab07af0",2020-04-20 20:12:34,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"to_title creates one capital letter per word","runtime (in seconds)","Pass",0.0016757,"Update roxygen2","35a10083ee37cfee7a48bcaccc9d128d9ab07af0",2020-04-20 20:12:34,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"to_sentence capitalizes just the first letter","runtime (in seconds)","Pass",0.001053,"Update roxygen2","35a10083ee37cfee7a48bcaccc9d128d9ab07af0",2020-04-20 20:12:34,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"test-case.R","runtime (in seconds)","Pass",0.0039891,"Update roxygen2","35a10083ee37cfee7a48bcaccc9d128d9ab07af0",2020-04-20 20:12:34,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"to_upper and to_lower have equivalent base versions","runtime (in seconds)","Pass",0.0016448,"Update roxygen2","35a10083ee37cfee7a48bcaccc9d128d9ab07af0",2020-04-20 20:12:34,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"to_title creates one capital letter per word","runtime (in seconds)","Pass",0.0016206,"Update roxygen2","35a10083ee37cfee7a48bcaccc9d128d9ab07af0",2020-04-20 20:12:34,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"to_sentence capitalizes just the first letter","runtime (in seconds)","Pass",0.000926,"Update roxygen2","35a10083ee37cfee7a48bcaccc9d128d9ab07af0",2020-04-20 20:12:34,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"test-case.R","runtime (in seconds)","Pass",0.0045434,"Update roxygen2","35a10083ee37cfee7a48bcaccc9d128d9ab07af0",2020-04-20 20:12:34,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"to_upper and to_lower have equivalent base versions","runtime (in seconds)","Pass",0.0012112,"use_tidy_github","8ff13261b873611d1cb92390c920cbaa96a5837c",2020-04-20 20:11:16,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"to_title creates one capital letter per word","runtime (in seconds)","Pass",0.0018587,"use_tidy_github","8ff13261b873611d1cb92390c920cbaa96a5837c",2020-04-20 20:11:16,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"to_sentence capitalizes just the first letter","runtime (in seconds)","Pass",0.000929,"use_tidy_github","8ff13261b873611d1cb92390c920cbaa96a5837c",2020-04-20 20:11:16,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"test-case.R","runtime (in seconds)","Pass",0.0038036,"use_tidy_github","8ff13261b873611d1cb92390c920cbaa96a5837c",2020-04-20 20:11:16,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"to_upper and to_lower have equivalent base versions","runtime (in seconds)","Pass",0.00142,"use_tidy_github","8ff13261b873611d1cb92390c920cbaa96a5837c",2020-04-20 20:11:16,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"to_title creates one capital letter per word","runtime (in seconds)","Pass",0.0014881,"use_tidy_github","8ff13261b873611d1cb92390c920cbaa96a5837c",2020-04-20 20:11:16,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"to_sentence capitalizes just the first letter","runtime (in seconds)","Pass",0.0007581,"use_tidy_github","8ff13261b873611d1cb92390c920cbaa96a5837c",2020-04-20 20:11:16,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"test-case.R","runtime (in seconds)","Pass",0.0036982,"use_tidy_github","8ff13261b873611d1cb92390c920cbaa96a5837c",2020-04-20 20:11:16,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"to_upper and to_lower have equivalent base versions","runtime (in seconds)","Pass",0.0011723,"use_tidy_github","8ff13261b873611d1cb92390c920cbaa96a5837c",2020-04-20 20:11:16,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"to_title creates one capital letter per word","runtime (in seconds)","Pass",0.001291,"use_tidy_github","8ff13261b873611d1cb92390c920cbaa96a5837c",2020-04-20 20:11:16,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"to_sentence capitalizes just the first letter","runtime (in seconds)","Pass",0.0008354,"use_tidy_github","8ff13261b873611d1cb92390c920cbaa96a5837c",2020-04-20 20:11:16,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"test-case.R","runtime (in seconds)","Pass",0.0037137,"use_tidy_github","8ff13261b873611d1cb92390c920cbaa96a5837c",2020-04-20 20:11:16,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"encoding conversion works","runtime (in seconds)","Pass",0.0009659,"Create main.yml","b72171af2e6b4287877a6b850bf535854e838659",2020-05-11 12:54:46,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"test-conv.R","runtime (in seconds)","Pass",0.014508,"Create main.yml","b72171af2e6b4287877a6b850bf535854e838659",2020-05-11 12:54:46,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"encoding conversion works","runtime (in seconds)","Pass",0.0013298,"Create main.yml","b72171af2e6b4287877a6b850bf535854e838659",2020-05-11 12:54:46,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"test-conv.R","runtime (in seconds)","Pass",0.0015847,"Create main.yml","b72171af2e6b4287877a6b850bf535854e838659",2020-05-11 12:54:46,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"encoding conversion works","runtime (in seconds)","Pass",0.0010856,"Create main.yml","b72171af2e6b4287877a6b850bf535854e838659",2020-05-11 12:54:46,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"test-conv.R","runtime (in seconds)","Pass",0.0014995,"Create main.yml","b72171af2e6b4287877a6b850bf535854e838659",2020-05-11 12:54:46,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"encoding conversion works","runtime (in seconds)","Pass",0.0012734,"Fix typos (#334","faedc2dbf7abc2fab65040d096a8128d8ddeb5e1",2020-04-20 20:31:14,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"test-conv.R","runtime (in seconds)","Pass",0.001669,"Fix typos (#334","faedc2dbf7abc2fab65040d096a8128d8ddeb5e1",2020-04-20 20:31:14,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"encoding conversion works","runtime (in seconds)","Pass",0.0010675,"Fix typos (#334","faedc2dbf7abc2fab65040d096a8128d8ddeb5e1",2020-04-20 20:31:14,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"test-conv.R","runtime (in seconds)","Pass",0.001247,"Fix typos (#334","faedc2dbf7abc2fab65040d096a8128d8ddeb5e1",2020-04-20 20:31:14,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"encoding conversion works","runtime (in seconds)","Pass",0.0011532,"Fix typos (#334","faedc2dbf7abc2fab65040d096a8128d8ddeb5e1",2020-04-20 20:31:14,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"test-conv.R","runtime (in seconds)","Pass",0.0013818,"Fix typos (#334","faedc2dbf7abc2fab65040d096a8128d8ddeb5e1",2020-04-20 20:31:14,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"encoding conversion works","runtime (in seconds)","Pass",0.0010103,"Install tidytem","94e54c8e8d2481c01e1a80d4a6e3a4cf783c73dd",2020-04-20 20:30:52,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"test-conv.R","runtime (in seconds)","Pass",0.001376,"Install tidytem","94e54c8e8d2481c01e1a80d4a6e3a4cf783c73dd",2020-04-20 20:30:52,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"encoding conversion works","runtime (in seconds)","Pass",0.0011052,"Install tidytem","94e54c8e8d2481c01e1a80d4a6e3a4cf783c73dd",2020-04-20 20:30:52,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"test-conv.R","runtime (in seconds)","Pass",0.0014875,"Install tidytem","94e54c8e8d2481c01e1a80d4a6e3a4cf783c73dd",2020-04-20 20:30:52,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"encoding conversion works","runtime (in seconds)","Pass",0.0010771,"Install tidytem","94e54c8e8d2481c01e1a80d4a6e3a4cf783c73dd",2020-04-20 20:30:52,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"test-conv.R","runtime (in seconds)","Pass",0.0013608,"Install tidytem","94e54c8e8d2481c01e1a80d4a6e3a4cf783c73dd",2020-04-20 20:30:52,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"encoding conversion works","runtime (in seconds)","Pass",0.0010451,"Update roxygen2","35a10083ee37cfee7a48bcaccc9d128d9ab07af0",2020-04-20 20:12:34,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"test-conv.R","runtime (in seconds)","Pass",0.0015878,"Update roxygen2","35a10083ee37cfee7a48bcaccc9d128d9ab07af0",2020-04-20 20:12:34,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"encoding conversion works","runtime (in seconds)","Pass",0.0011964,"Update roxygen2","35a10083ee37cfee7a48bcaccc9d128d9ab07af0",2020-04-20 20:12:34,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"test-conv.R","runtime (in seconds)","Pass",0.0015962,"Update roxygen2","35a10083ee37cfee7a48bcaccc9d128d9ab07af0",2020-04-20 20:12:34,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"encoding conversion works","runtime (in seconds)","Pass",0.0010329,"Update roxygen2","35a10083ee37cfee7a48bcaccc9d128d9ab07af0",2020-04-20 20:12:34,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"test-conv.R","runtime (in seconds)","Pass",0.0016762,"Update roxygen2","35a10083ee37cfee7a48bcaccc9d128d9ab07af0",2020-04-20 20:12:34,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"encoding conversion works","runtime (in seconds)","Pass",0.0010318,"use_tidy_github","8ff13261b873611d1cb92390c920cbaa96a5837c",2020-04-20 20:11:16,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"test-conv.R","runtime (in seconds)","Pass",0.0014078,"use_tidy_github","8ff13261b873611d1cb92390c920cbaa96a5837c",2020-04-20 20:11:16,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"encoding conversion works","runtime (in seconds)","Pass",0.0010899,"use_tidy_github","8ff13261b873611d1cb92390c920cbaa96a5837c",2020-04-20 20:11:16,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"test-conv.R","runtime (in seconds)","Pass",0.0014169,"use_tidy_github","8ff13261b873611d1cb92390c920cbaa96a5837c",2020-04-20 20:11:16,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"encoding conversion works","runtime (in seconds)","Pass",0.0012141,"use_tidy_github","8ff13261b873611d1cb92390c920cbaa96a5837c",2020-04-20 20:11:16,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"test-conv.R","runtime (in seconds)","Pass",0.0014335,"use_tidy_github","8ff13261b873611d1cb92390c920cbaa96a5837c",2020-04-20 20:11:16,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"counts are as expected","runtime (in seconds)","Pass",0.0029001,"Create main.yml","b72171af2e6b4287877a6b850bf535854e838659",2020-05-11 12:54:46,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"test-count.r","runtime (in seconds)","Pass",0.0033832,"Create main.yml","b72171af2e6b4287877a6b850bf535854e838659",2020-05-11 12:54:46,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"counts are as expected","runtime (in seconds)","Pass",0.0029516,"Create main.yml","b72171af2e6b4287877a6b850bf535854e838659",2020-05-11 12:54:46,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"test-count.r","runtime (in seconds)","Pass",0.003177,"Create main.yml","b72171af2e6b4287877a6b850bf535854e838659",2020-05-11 12:54:46,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"counts are as expected","runtime (in seconds)","Pass",0.0031302,"Create main.yml","b72171af2e6b4287877a6b850bf535854e838659",2020-05-11 12:54:46,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"test-count.r","runtime (in seconds)","Pass",0.0034661,"Create main.yml","b72171af2e6b4287877a6b850bf535854e838659",2020-05-11 12:54:46,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"counts are as expected","runtime (in seconds)","Pass",0.0030634,"Fix typos (#334","faedc2dbf7abc2fab65040d096a8128d8ddeb5e1",2020-04-20 20:31:14,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"test-count.r","runtime (in seconds)","Pass",0.0035919,"Fix typos (#334","faedc2dbf7abc2fab65040d096a8128d8ddeb5e1",2020-04-20 20:31:14,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"counts are as expected","runtime (in seconds)","Pass",0.0032846,"Fix typos (#334","faedc2dbf7abc2fab65040d096a8128d8ddeb5e1",2020-04-20 20:31:14,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"test-count.r","runtime (in seconds)","Pass",0.0032303,"Fix typos (#334","faedc2dbf7abc2fab65040d096a8128d8ddeb5e1",2020-04-20 20:31:14,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"counts are as expected","runtime (in seconds)","Pass",0.0028342,"Fix typos (#334","faedc2dbf7abc2fab65040d096a8128d8ddeb5e1",2020-04-20 20:31:14,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"test-count.r","runtime (in seconds)","Pass",0.0032524,"Fix typos (#334","faedc2dbf7abc2fab65040d096a8128d8ddeb5e1",2020-04-20 20:31:14,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"counts are as expected","runtime (in seconds)","Pass",0.0029618,"Install tidytem","94e54c8e8d2481c01e1a80d4a6e3a4cf783c73dd",2020-04-20 20:30:52,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"test-count.r","runtime (in seconds)","Pass",0.0034926,"Install tidytem","94e54c8e8d2481c01e1a80d4a6e3a4cf783c73dd",2020-04-20 20:30:52,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"counts are as expected","runtime (in seconds)","Pass",0.003158,"Install tidytem","94e54c8e8d2481c01e1a80d4a6e3a4cf783c73dd",2020-04-20 20:30:52,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"test-count.r","runtime (in seconds)","Pass",0.0031813,"Install tidytem","94e54c8e8d2481c01e1a80d4a6e3a4cf783c73dd",2020-04-20 20:30:52,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"counts are as expected","runtime (in seconds)","Pass",0.0028415,"Install tidytem","94e54c8e8d2481c01e1a80d4a6e3a4cf783c73dd",2020-04-20 20:30:52,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"test-count.r","runtime (in seconds)","Pass",0.0038468,"Install tidytem","94e54c8e8d2481c01e1a80d4a6e3a4cf783c73dd",2020-04-20 20:30:52,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"counts are as expected","runtime (in seconds)","Pass",0.003356,"Update roxygen2","35a10083ee37cfee7a48bcaccc9d128d9ab07af0",2020-04-20 20:12:34,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"test-count.r","runtime (in seconds)","Pass",0.0034138,"Update roxygen2","35a10083ee37cfee7a48bcaccc9d128d9ab07af0",2020-04-20 20:12:34,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"counts are as expected","runtime (in seconds)","Pass",0.0030535,"Update roxygen2","35a10083ee37cfee7a48bcaccc9d128d9ab07af0",2020-04-20 20:12:34,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"test-count.r","runtime (in seconds)","Pass",0.0034572,"Update roxygen2","35a10083ee37cfee7a48bcaccc9d128d9ab07af0",2020-04-20 20:12:34,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"counts are as expected","runtime (in seconds)","Pass",0.0033917,"Update roxygen2","35a10083ee37cfee7a48bcaccc9d128d9ab07af0",2020-04-20 20:12:34,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"test-count.r","runtime (in seconds)","Pass",0.0047483,"Update roxygen2","35a10083ee37cfee7a48bcaccc9d128d9ab07af0",2020-04-20 20:12:34,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
